window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00014153140737003885,0.7807017590949158,0.0,39,215128,0.00018128741958276003
0,1,0.00021379124538767127,0.8868718677897182,0.0,52,215712,0.0002410621569500074
0,2,0.0004936697576219533,1.1518692024452,0.0,104,242661,0.0004285814366544274
0,3,0.00018580458345356614,0.8259865338851844,0.0,48,213382,0.00022494868358155796
0,4,0.0004974938938543175,1.436044462870264,0.0,79,228038,0.00034643348915531624
1,0,0.0010609696081969574,2.4607363802966775,0.0,61,141479,0.0004311593946804826
1,1,0.00033642417578191614,0.614258787412274,0.0,78,142416,0.0005476912706437479
1,2,0.0005389751866307837,0.9738327187191935,0.0,96,173455,0.0005534576691360872
1,3,0.00043047629929897,0.9687660820739787,0.0,62,139528,0.00044435525485923973
1,4,0.0008590702820753878,1.219500571323432,0.0,111,157571,0.0007044443457235151
2,0,0.015718692418540965,7.2970715370939985,0.04,83,38531,0.0021541096779216736
2,1,0.001657610046942976,0.8663112134669845,0.0,75,39197,0.001913411740694441
2,2,0.0032191340987710814,1.8689982299479475,0.0,83,48189,0.0017223847766087697
2,3,0.005297415312834384,2.998416132964453,0.02,67,37923,0.001766737863565646
2,4,0.007572515512212642,3.9725598847320827,0.0,83,43542,0.0019062055027329935
3,0,0.011895990735935225,6.6581342932040934,0.0,69,38619,0.0017866853103394701
3,1,0.005352369967312783,2.185997100816662,0.0,96,39208,0.002448479902060804
3,2,0.0062772834750072955,3.559367431116784,0.02,85,48197,0.0017635952445172935
3,3,0.00970311610941685,5.029537129646907,0.02,73,37839,0.0019292264594730304
3,4,0.008476015826847611,4.396125970574642,0.02,84,43567,0.0019280648197029862
4,0,0.0072565602674706095,8.09106469822973,0.0,81,90315,0.0008968609865470852
4,1,0.010759107315070317,9.009058813182907,0.02,108,90433,0.0011942543098205302
4,2,0.006636633850467284,6.712925245000584,0.04,111,112276,0.0009886351490968684
4,3,0.009397940869751334,11.229142348142476,0.02,74,88419,0.0008369241905020414
4,4,0.0063322228488938695,6.606858534721669,0.02,97,101207,0.0009584317290306007
5,0,0.012717568056209634,14.33826313537285,0.02,80,90195,0.0008869671267808637
5,1,0.013267326895374387,11.990744701501464,0.02,100,90378,0.0011064639624687423
5,2,0.013415806071135579,10.589794865503132,0.06,142,112088,0.0012668617514809792
5,3,0.012902307269292148,11.755465070572178,0.04,97,88378,0.0010975582158455725
5,4,0.025304173447443314,22.8302386327156,0.04,112,101050,0.0011083621969322117
6,0,0.012200927782812412,12.526748013376153,0.0,88,90350,0.0009739900387382401
6,1,0.024019224078548722,26.820280753190342,0.02,81,90446,0.0008955619927912788
6,2,0.013655960228263906,10.089508562596851,0.02,152,112303,0.0013534812070915292
6,3,0.008463403686276919,9.132115789732872,0.0,82,88479,0.0009267735846924129
6,4,0.007307374436280261,7.86498929618918,0.0,94,101173,0.000929101637788738
7,0,0.015466166127609773,13.844209378860835,0.0,101,90408,0.0011171577736483497
7,1,0.01657932024616783,14.697729940583136,0.0,102,90424,0.0011280191099708042
7,2,0.017853964440821934,14.314671047063856,0.02,140,112247,0.001247249369693622
7,3,0.01912677648172978,19.211977576966575,0.06,88,88392,0.0009955652095212236
7,4,0.01274108153930327,11.950898537912035,0.02,108,101302,0.0010661191289411858
8,0,0.010472060929915553,12.63741619533564,0.04,102,123091,0.0008286552225589198
8,1,0.00684242471346822,10.444243292886219,0.02,81,123638,0.0006551383878742781
8,2,0.004922272216092897,5.166492645275968,0.02,143,150095,0.0009527299377061195
8,3,0.004278093100912414,6.020669860504994,0.0,86,121030,0.0007105676278608609
8,4,0.009128340168506732,12.225979759217747,0.02,102,136613,0.0007466346540958767
9,0,0.019968836189804058,8.60767777759387,0.0,90,38795,0.002319886583322593
9,1,0.026518893349133967,12.419997419622373,0.02,84,39341,0.0021351770417630464
9,2,0.01935712188083032,9.456247328511077,0.02,99,48363,0.0020470194156690033
9,3,0.01834154733048033,8.40153358984978,0.0,83,38019,0.0021831189668323732
9,4,0.01997090060348941,10.172851659733263,0.02,86,43807,0.0019631565731504097
