window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00014153140737003885,0.7807017590949158,0.0,39,215128,0.00018128741958276003
0,1,0.00021379124538767127,0.8868718677897182,0.0,52,215712,0.0002410621569500074
0,2,0.0004936697576219533,1.1518692024452,0.0,104,242661,0.0004285814366544274
0,3,0.00018580458345356614,0.8259865338851844,0.0,48,213382,0.00022494868358155796
0,4,0.0004974938938543175,1.436044462870264,0.0,79,228038,0.00034643348915531624
1,0,0.0010609696081969574,2.4607363802966775,0.0,61,141479,0.0004311593946804826
1,1,0.00033642417578191614,0.614258787412274,0.0,78,142416,0.0005476912706437479
1,2,0.0005389751866307837,0.9738327187191935,0.0,96,173455,0.0005534576691360872
1,3,0.00043047629929897,0.9687660820739787,0.0,62,139528,0.00044435525485923973
1,4,0.0008590702820753878,1.219500571323432,0.0,111,157571,0.0007044443457235151
2,0,0.015718692418540965,7.2970715370939985,0.04,83,38531,0.0021541096779216736
2,1,0.001657610046942976,0.8663112134669845,0.0,75,39197,0.001913411740694441
2,2,0.0032191340987710814,1.8689982299479475,0.0,83,48189,0.0017223847766087697
2,3,0.005297415312834384,2.998416132964453,0.02,67,37923,0.001766737863565646
2,4,0.007572515512212642,3.9725598847320827,0.0,83,43542,0.0019062055027329935
3,0,0.011895990735935225,6.6581342932040934,0.0,69,38619,0.0017866853103394701
3,1,0.005352369967312783,2.185997100816662,0.0,96,39208,0.002448479902060804
3,2,0.0062772834750072955,3.559367431116784,0.02,85,48197,0.0017635952445172935
3,3,0.00970311610941685,5.029537129646907,0.02,73,37839,0.0019292264594730304
3,4,0.008476015826847611,4.396125970574642,0.02,84,43567,0.0019280648197029862
4,0,0.0040110159365097185,4.472282769208336,0.0,81,90315,0.0008968609865470852
4,1,0.007135491621888979,5.974851054095241,0.02,108,90433,0.0011942543098205302
4,2,0.0032811899725607037,3.3189088771101405,0.02,111,112276,0.0009886351490968684
4,3,0.00476546924840992,5.694027371285902,0.02,74,88419,0.0008369241905020414
4,4,0.00350977361410834,3.6619964759078636,0.02,97,101207,0.0009584317290306007
5,0,0.009917048980375013,11.180852909811554,0.02,80,90195,0.0008869671267808637
5,1,0.010463034136855518,9.456280992207281,0.04,100,90378,0.0011064639624687423
5,2,0.00772603470512164,6.098561817096298,0.06,142,112088,0.0012668617514809792
5,3,0.010127682806303136,9.227467536654212,0.02,97,88378,0.0010975582158455725
5,4,0.020464671579632807,18.463884492159778,0.04,112,101050,0.0011083621969322117
6,0,0.010036604522024688,10.304627483692393,0.0,88,90350,0.0009739900387382401
6,1,0.012589861075409084,14.05805647933889,0.02,81,90446,0.0008955619927912788
6,2,0.011098518391246764,8.199979676922272,0.02,152,112303,0.0013534812070915292
6,3,0.00819076808842057,8.837938654821508,0.0,82,88479,0.0009267735846924129
6,4,0.0061115582738438265,6.577922183400016,0.0,94,101173,0.000929101637788738
7,0,0.014713398485328186,13.170385448134164,0.0,101,90408,0.0011171577736483497
7,1,0.014297437811098494,12.674818790497747,0.0,102,90424,0.0011280191099708042
7,2,0.011727183278375136,9.402436724626957,0.04,140,112247,0.001247249369693622
7,3,0.017240591375256634,17.31739037320096,0.06,88,88392,0.0009955652095212236
7,4,0.012301296307878667,11.53838813500671,0.02,108,101302,0.0010661191289411858
8,0,0.008243699887862893,9.948286891146385,0.04,102,123091,0.0008286552225589198
8,1,0.005258308852153234,8.026256664969402,0.02,81,123638,0.0006551383878742781
8,2,0.004301121114120715,4.514522892475166,0.02,143,150095,0.0009527299377061195
8,3,0.003581488304517602,5.040320110415877,0.0,86,121030,0.0007105676278608609
8,4,0.005628995694182659,7.539156752640937,0.02,102,136613,0.0007466346540958767
9,0,0.01903841240989962,8.206613438245064,0.0,90,38795,0.002319886583322593
9,1,0.019795215366570907,9.270994854003167,0.02,84,39341,0.0021351770417630464
9,2,0.01730852087330734,8.455474696926897,0.02,99,48363,0.0020470194156690033
9,3,0.017254372207136652,7.903541890881065,0.02,83,38019,0.0021831189668323732
9,4,0.018092018920603723,9.215779916917294,0.02,86,43807,0.0019631565731504097
