window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0009053775825090069,0.8402587269519439,0.0,106,98376,0.0010774985768886721
0,1,0.0010245614385319029,1.1016348990046898,0.0,93,99996,0.0009300372014880595
0,2,0.0008502797247210122,0.8329680295256924,0.0,100,97964,0.0010207831448287125
0,3,0.0018811916596737628,1.707630544478096,0.0,111,100759,0.0011016385633045188
0,4,0.006795354848975708,4.560682420552255,0.02,136,91276,0.0014899864148297472
1,0,0.0011426068308181393,1.8684938929514436,0.0,62,101388,0.0006115122105180101
1,1,0.000786970802248902,1.3798173704230612,0.0,55,96433,0.000570344176785955
1,2,0.000544690249039627,0.899231725902611,0.0,63,104007,0.0006057284605843837
1,3,0.0015443537914469555,1.741232871421755,0.0,89,100346,0.0008869312179857693
1,4,0.08792773384487493,101.64032254896506,0.16,85,98256,0.0008650871193616675
2,0,0.0015466895904094706,1.4239399245086553,0.0,113,104032,0.0010862042448477392
2,1,0.001341289670743765,1.5655261764852986,0.02,89,103879,0.0008567660451101762
2,2,0.0016931276788718832,1.298615702134743,0.0,128,98175,0.0013037942449707156
2,3,0.0011225258860841254,1.1666594803604737,0.0,98,101853,0.0009621709718908623
2,4,0.0008609072691202916,0.8665770826502556,0.0,99,99652,0.0009934572311644523
3,0,0.001182261070536014,1.035412323615066,0.0,119,104219,0.0011418263464435467
3,1,0.0011357339400200304,1.0314882868031918,0.0,108,98087,0.0011010633417272422
3,2,0.0010711875334118372,0.8184125791691651,0.0,127,97031,0.0013088600550339583
3,3,0.00383704609786183,5.917804252117965,0.02,64,98706,0.0006483901687840658
3,4,0.0009770505443361256,1.0471174218776553,0.0,87,93239,0.0009330859404326516
4,0,0.0011090888282762085,0.9229139576264562,0.0,124,103185,0.0012017250569365703
4,1,0.0006309350030012058,1.0428032671377834,0.0,62,102473,0.0006050374244923052
4,2,0.0012495537776532131,0.9018075893092782,0.0,135,97430,0.0013856101816688904
4,3,0.016147172349436925,24.97619777207289,0.02,65,100541,0.0006465024218975343
4,4,0.014526164443315273,19.112054659214504,0.02,73,96046,0.0007600524748557982
5,0,0.0009909095906661003,1.034359474838641,0.0,99,103341,0.0009579934391964468
5,1,0.0012299483578249138,0.9255649661778841,0.0,128,96323,0.001328862265502528
5,2,0.00133332131601432,1.038011157152779,0.0,130,101207,0.0012844961316904957
5,3,0.0012243188298708696,1.5027816239863099,0.0,79,96968,0.0008147017572807525
5,4,0.002414419903642757,2.204985589982736,0.04,109,99545,0.001094982168868351
6,0,0.0008860656535055161,0.9193150478301291,0.0,101,104790,0.0009638324267582784
6,1,0.0008671006139407067,1.0780445157971321,0.0,80,99462,0.0008043272807705456
6,2,0.0009340014807917608,0.9822515998420246,0.0,94,98856,0.0009508780448328882
6,3,0.0009781394827449979,1.157309613811067,0.0,86,101753,0.000845183925781058
6,4,0.0007919713604942855,0.9312478123095829,0.0,86,101124,0.0008504410426802738
7,0,0.001660305725654823,1.200565970680787,0.0,151,109188,0.0013829358537568231
7,1,0.0011665555455281443,1.2050410770903366,0.0,108,111563,0.0009680628882335541
7,2,0.0014788715817792577,1.1195468671730586,0.0,144,109012,0.0013209554911385903
7,3,0.0013700785004223267,1.2486135577378263,0.0,119,108450,0.0010972798524665744
7,4,0.0013364395176006594,1.0330582688108587,0.0,141,108992,0.0012936729301233118
8,0,0.0015056904991797167,1.2037552690795017,0.0,136,108728,0.0012508277536605107
8,1,0.0013863156587836105,1.4612467203002883,0.0,99,104351,0.0009487211430652318
8,2,0.0015635462457542577,1.584999904337828,0.0,104,105427,0.0009864645679000636
8,3,0.001233098514328863,1.5678693472377203,0.0,80,101719,0.0007864804018914854
8,4,0.0014302186885540987,1.5863657934992603,0.02,96,106481,0.0009015692940524601
9,0,0.0013422541122879907,1.5168366304929155,0.0,90,101706,0.000884903545513539
9,1,0.0019693685528732493,1.5679215794895829,0.0,123,97927,0.0012560376607064446
9,2,0.003182947396375443,2.4413964374817834,0.0,126,96645,0.001303740493558901
9,3,0.0019000671197375676,1.8840604936985663,0.0,99,98166,0.0010084958132143512
9,4,0.0013253583278416523,1.2044760962104009,0.0,111,100876,0.0011003608390499227
10,0,0.001135244958564516,1.5014425466271841,0.0,77,101838,0.000756102829984878
10,1,0.0024680782291299445,2.3795301017206882,0.0,106,102197,0.0010372124426353024
10,2,0.001520796385648566,1.9118851351925124,0.0,81,101830,0.0007954433860355494
10,3,0.0029855135823343513,2.930238102708025,0.0,103,101093,0.0010188638184641865
10,4,0.001320328681362913,1.964168958347519,0.0,66,98184,0.0006722072842825715
11,0,0.001854489967084351,1.8115025555049993,0.0,111,108427,0.0010237302516900772
11,1,0.002527143935239494,2.07104499780747,0.0,125,102440,0.0012202264740335807
11,2,0.0022044301933586744,1.7981096201188034,0.0,125,101960,0.001225970969007454
11,3,0.0015736056919468191,1.5623083907055781,0.0,106,105239,0.001007231159551117
11,4,0.0018744646298920798,1.4121402800527285,0.0,129,97183,0.0013273926509780518
12,0,0.002350464886886108,2.337503099937066,0.0,103,102432,0.0010055451421430803
12,1,0.004149370756700527,3.891161342183563,0.0,105,98466,0.001066357930656267
12,2,0.004600772383438067,3.685437763533103,0.0,126,100932,0.0012483652360004757
12,3,0.0015872260054804297,1.6596101247720267,0.0,96,100378,0.0009563848652095081
12,4,0.005229668254629014,4.518998741540509,0.06,111,95916,0.0011572626047791819
13,0,0.0007770444463050566,1.3617574414088398,0.0,60,105149,0.0005706188361277806
13,1,0.002131150777246677,2.2188939142977624,0.0,99,103076,0.0009604563622957817
13,2,0.0020694174751961017,2.65949329655298,0.0,78,100241,0.000778124719426183
