window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.0,0.0
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.0,0.0
2,2,100,0.0,0.0
2,2,200,0.0,0.0
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.0,0.0
2,3,100,0.0,0.0
2,3,200,0.0,0.0
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.02,0.012345679012345678
2,4,100,0.02,0.024691358024691357
2,4,200,0.02,0.04938271604938271
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.005,0.02631578947368421
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.0,0.0
3,1,200,0.0,0.0
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.0,0.0
3,2,100,0.0,0.0
3,2,200,0.0,0.0
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.02,0.01282051282051282
3,3,100,0.01,0.01282051282051282
3,3,200,0.01,0.02564102564102564
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.01,0.023255813953488372
4,0,10,0.0,0.0
4,0,25,0.04,0.023809523809523808
4,0,50,0.02,0.023809523809523808
4,0,100,0.01,0.023809523809523808
4,0,200,0.005,0.023809523809523808
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.0,0.0
4,1,100,0.0,0.0
4,1,200,0.0,0.0
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.02,0.013157894736842105
4,2,100,0.01,0.013157894736842105
4,2,200,0.005,0.013157894736842105
4,3,10,0.0,0.0
4,3,25,0.0,0.0
4,3,50,0.04,0.04
4,3,100,0.02,0.04
4,3,200,0.01,0.04
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.02,0.01
4,4,100,0.01,0.01
4,4,200,0.005,0.01
5,0,10,0.0,0.0
5,0,25,0.0,0.0
5,0,50,0.02,0.00909090909090909
5,0,100,0.01,0.00909090909090909
5,0,200,0.005,0.00909090909090909
5,1,10,0.0,0.0
5,1,25,0.0,0.0
5,1,50,0.0,0.0
5,1,100,0.0,0.0
5,1,200,0.0,0.0
5,2,10,0.0,0.0
5,2,25,0.0,0.0
5,2,50,0.0,0.0
5,2,100,0.01,0.022727272727272728
5,2,200,0.005,0.022727272727272728
5,3,10,0.4,0.10810810810810811
5,3,25,0.2,0.13513513513513514
5,3,50,0.1,0.13513513513513514
5,3,100,0.05,0.13513513513513514
5,3,200,0.065,0.35135135135135137
5,4,10,0.0,0.0
