window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0004804969243254168,1.3207786397757215,0.0,85,233646,0.00036379822466466364
0,1,0.0002831026255511389,0.8277126702775341,0.0,82,239745,0.0003420300736198878
0,2,0.0001869066079844123,0.8998661120184073,0.0,44,211839,0.00020770490797256407
0,3,0.022644992219455887,106.99356246053449,0.02,45,212617,0.00021164817488723855
0,4,0.00017849446529548103,0.7310223987075926,0.0,53,217061,0.0002441709934073832
1,0,0.0006287487802213482,0.9231448194505746,0.0,111,162973,0.0006810944144122033
1,1,0.0005137674121558165,1.0500910706959194,0.0,83,169644,0.0004892598618282993
1,2,0.00029407674050608624,0.9024757713424333,0.0,45,138098,0.00032585555185448014
1,3,0.0007332005223601351,1.564424314555802,0.0,65,138690,0.0004686711370682818
1,4,0.0004176103450470438,0.6805124801328957,0.0,89,145029,0.0006136703693744009
2,0,0.0026291785752892254,1.4163134587123505,0.0,84,45250,0.001856353591160221
2,1,0.002156301862648562,1.3973135556332494,0.0,72,46657,0.0015431768009087597
2,2,0.002057230911592392,1.1683843380285628,0.0,67,38052,0.0017607484494901713
2,3,0.008143343372324528,6.148712846707357,0.04,50,37753,0.0013243980610812387
2,4,0.001925518078657033,0.8576344062476791,0.0,89,39641,0.002245150223253702
3,0,0.003150617902039638,1.7394484592821766,0.0,82,45272,0.001811274076691995
3,1,0.00469705044226472,3.372699004489558,0.0,65,46673,0.0013926681378955714
3,2,0.0038723162940937457,1.9376866929524361,0.0,76,38030,0.001998422298185643
3,3,0.003420430146341909,1.7010789242274358,0.0,76,37797,0.0020107415932481415
3,4,0.0019965489010631567,0.9649661713040857,0.0,82,39632,0.002069035123132822
4,0,0.001129056507223228,1.3940792770128498,0.0,85,104952,0.0008098940468023477
4,1,0.001629060958585415,1.721416183699065,0.0,104,109896,0.0009463492756788236
4,2,0.0010862541346536672,1.481175403483691,0.0,64,87268,0.0007333730577072924
4,3,0.0017292744170882943,1.927090276673445,0.0,79,88037,0.0008973499778502221
4,4,0.0010957137997403968,0.8966526617326924,0.0,113,92471,0.0012220047366201295
5,0,0.005689765458996239,6.781036611461449,0.02,88,104878,0.0008390701577070501
5,1,0.006363427592929216,5.681350931261096,0.04,123,109816,0.0011200553653383841
5,2,0.007958890909700108,5.932366814906297,0.04,117,87209,0.0013416046508961232
5,3,0.00967465789451121,8.772919935498058,0.0,97,87959,0.0011027865255403085
5,4,0.0071003459159214195,5.744740399605369,0.04,114,92235,0.0012359733289965848
6,0,0.007751905188736121,8.474366602523851,0.02,96,104947,0.0009147474439478975
6,1,0.005705116556860145,6.088079429424525,0.02,103,109914,0.0009370962752697563
6,2,0.008458366479460314,8.591536574962515,0.06,86,87354,0.000984499851180255
6,3,0.007623920551636561,6.157889590514522,0.0,109,88040,0.0012380736029077692
6,4,0.007779730477436608,6.919247403571672,0.0,104,92497,0.0011243607900796784
7,0,0.011712871229341604,11.385019287431422,0.02,108,104977,0.0010287967840574602
7,1,0.011533010525931461,8.991658490181884,0.0,141,109930,0.0012826344037114527
7,2,0.017098196132282785,13.824366522843196,0.02,108,87321,0.0012368158862129384
7,3,0.01253830062715467,11.388784055223882,0.0,97,88107,0.0011009340915023778
7,4,0.007742431392540688,6.279994768193506,0.0,114,92467,0.0012328722679442396
8,0,0.003978859500149893,5.451810109283053,0.0,103,141130,0.0007298235669241125
8,1,0.005321114996428946,5.144327952139696,0.02,152,146950,0.0010343654304185096
8,2,0.0046077849881789555,4.425832774565745,0.02,125,120064,0.001041111407249467
8,3,0.0026789511784713607,3.986577014807437,0.02,81,120537,0.0006719928320764578
8,4,0.003447136243859054,4.471681995513245,0.0,97,125830,0.0007708813478502741
9,0,0.011445288072460681,6.421937007472414,0.0,81,45449,0.0017822174305265242
9,1,0.019542234265240318,7.959636982468317,0.0,115,46840,0.0024551665243381727
9,2,0.015810454554457707,5.929230466834472,0.0,102,38252,0.0026665272404057306
9,3,0.013822154974523793,7.085722283223785,0.0,74,37935,0.0019507051535521285
9,4,0.01987073460152278,8.16871559763219,0.06,97,39876,0.0024325408767178255
