window,client,budget,precision,recall
1,0,10,0.1,0.021739130434782608
1,0,25,0.04,0.021739130434782608
1,0,50,0.02,0.021739130434782608
1,0,100,0.01,0.021739130434782608
1,0,200,0.005,0.021739130434782608
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.005,0.01818181818181818
1,3,10,0.9,0.10112359550561797
1,3,25,0.6,0.16853932584269662
1,3,50,0.36,0.20224719101123595
1,3,100,0.25,0.2808988764044944
1,3,200,0.14,0.3146067415730337
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.005,0.009708737864077669
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.02,0.01282051282051282
2,2,100,0.02,0.02564102564102564
2,2,200,0.01,0.02564102564102564
2,3,10,0.3,0.022222222222222223
2,3,25,0.32,0.05925925925925926
2,3,50,0.18,0.06666666666666667
2,3,100,0.12,0.08888888888888889
2,3,200,0.075,0.1111111111111111
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.01,0.005952380952380952
2,4,200,0.005,0.005952380952380952
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.01,0.016129032258064516
3,0,200,0.005,0.016129032258064516
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.0,0.0
3,1,200,0.0,0.0
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.0,0.0
3,2,100,0.0,0.0
3,2,200,0.0,0.0
3,3,10,0.2,0.014705882352941176
3,3,25,0.12,0.022058823529411766
3,3,50,0.1,0.03676470588235294
3,3,100,0.09,0.0661764705882353
3,3,200,0.075,0.11029411764705882
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.005,0.00641025641025641
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.0,0.0
4,1,100,0.0,0.0
4,1,200,0.0,0.0
4,2,10,0.1,0.012987012987012988
4,2,25,0.04,0.012987012987012988
4,2,50,0.02,0.012987012987012988
4,2,100,0.01,0.012987012987012988
4,2,200,0.01,0.025974025974025976
4,3,10,0.0,0.0
4,3,25,0.04,0.011627906976744186
4,3,50,0.02,0.011627906976744186
4,3,100,0.01,0.011627906976744186
4,3,200,0.01,0.023255813953488372
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.02,0.007936507936507936
4,4,100,0.01,0.007936507936507936
4,4,200,0.005,0.007936507936507936
5,0,10,0.0,0.0
5,0,25,0.0,0.0
5,0,50,0.0,0.0
5,0,100,0.0,0.0
5,0,200,0.0,0.0
5,1,10,0.0,0.0
5,1,25,0.0,0.0
5,1,50,0.0,0.0
5,1,100,0.0,0.0
5,1,200,0.01,0.021052631578947368
5,2,10,0.0,0.0
5,2,25,0.0,0.0
5,2,50,0.0,0.0
5,2,100,0.0,0.0
5,2,200,0.0,0.0
5,3,10,0.0,0.0
5,3,25,0.0,0.0
5,3,50,0.0,0.0
5,3,100,0.0,0.0
5,3,200,0.025,0.03496503496503497
5,4,10,0.0,0.0
5,4,25,0.0,0.0
5,4,50,0.12,0.0335195530726257
5,4,100,0.06,0.0335195530726257
5,4,200,0.03,0.0335195530726257
6,0,10,0.0,0.0
6,0,25,0.0,0.0
6,0,50,0.0,0.0
6,0,100,0.0,0.0
6,0,200,0.0,0.0
6,1,10,0.0,0.0
6,1,25,0.0,0.0
6,1,50,0.0,0.0
6,1,100,0.01,0.013513513513513514
6,1,200,0.01,0.02702702702702703
6,2,10,0.0,0.0
6,2,25,0.0,0.0
6,2,50,0.0,0.0
6,2,100,0.0,0.0
6,2,200,0.0,0.0
6,3,10,0.1,0.008695652173913044
6,3,25,0.12,0.02608695652173913
6,3,50,0.08,0.034782608695652174
6,3,100,0.04,0.034782608695652174
6,3,200,0.02,0.034782608695652174
6,4,10,0.0,0.0
6,4,25,0.0,0.0
6,4,50,0.0,0.0
6,4,100,0.0,0.0
6,4,200,0.0,0.0
7,0,10,0.0,0.0
7,0,25,0.0,0.0
7,0,50,0.0,0.0
7,0,100,0.0,0.0
7,0,200,0.0,0.0
7,1,10,0.0,0.0
7,1,25,0.0,0.0
7,1,50,0.0,0.0
7,1,100,0.0,0.0
7,1,200,0.0,0.0
7,2,10,0.1,0.014285714285714285
7,2,25,0.04,0.014285714285714285
7,2,50,0.02,0.014285714285714285
7,2,100,0.01,0.014285714285714285
7,2,200,0.005,0.014285714285714285
7,3,10,0.0,0.0
7,3,25,0.2,0.030303030303030304
7,3,50,0.12,0.03636363636363636
7,3,100,0.15,0.09090909090909091
7,3,200,0.105,0.12727272727272726
7,4,10,0.1,0.004219409282700422
7,4,25,0.04,0.004219409282700422
7,4,50,0.04,0.008438818565400843
7,4,100,0.02,0.008438818565400843
7,4,200,0.01,0.008438818565400843
8,0,10,0.0,0.0
8,0,25,0.0,0.0
8,0,50,0.0,0.0
8,0,100,0.0,0.0
8,0,200,0.0,0.0
8,1,10,0.0,0.0
8,1,25,0.0,0.0
8,1,50,0.0,0.0
8,1,100,0.0,0.0
8,1,200,0.0,0.0
8,2,10,0.0,0.0
8,2,25,0.0,0.0
8,2,50,0.0,0.0
8,2,100,0.0,0.0
8,2,200,0.0,0.0
8,3,10,0.0,0.0
8,3,25,0.2,0.03759398496240601
8,3,50,0.2,0.07518796992481203
8,3,100,0.19,0.14285714285714285
8,3,200,0.135,0.20300751879699247
8,4,10,0.0,0.0
8,4,25,0.04,0.006211180124223602
8,4,50,0.04,0.012422360248447204
8,4,100,0.02,0.012422360248447204
8,4,200,0.02,0.024844720496894408
9,0,10,0.0,0.0
9,0,25,0.0,0.0
9,0,50,0.0,0.0
9,0,100,0.01,0.023809523809523808
9,0,200,0.005,0.023809523809523808
9,1,10,0.0,0.0
9,1,25,0.0,0.0
9,1,50,0.02,0.0125
9,1,100,0.01,0.0125
9,1,200,0.015,0.0375
9,2,10,0.0,0.0
9,2,25,0.0,0.0
9,2,50,0.0,0.0
9,2,100,0.0,0.0
9,2,200,0.0,0.0
9,3,10,0.8,0.043010752688172046
9,3,25,0.64,0.08602150537634409
9,3,50,0.66,0.1774193548387097
9,3,100,0.57,0.3064516129032258
9,3,200,0.415,0.44623655913978494
9,4,10,0.0,0.0
9,4,25,0.08,0.011363636363636364
9,4,50,0.04,0.011363636363636364
9,4,100,0.04,0.022727272727272728
9,4,200,0.02,0.022727272727272728
10,0,10,0.0,0.0
10,0,25,0.0,0.0
10,0,50,0.0,0.0
10,0,100,0.0,0.0
10,0,200,0.0,0.0
10,1,10,0.0,0.0
10,1,25,0.0,0.0
10,1,50,0.0,0.0
10,1,100,0.0,0.0
10,1,200,0.0,0.0
10,2,10,0.0,0.0
10,2,25,0.0,0.0
10,2,50,0.0,0.0
10,2,100,0.0,0.0
10,2,200,0.0,0.0
10,3,10,0.0,0.0
10,3,25,0.2,0.05319148936170213
10,3,50,0.3,0.1595744680851064
10,3,100,0.25,0.26595744680851063
10,3,200,0.145,0.30851063829787234
10,4,10,0.0,0.0
10,4,25,0.0,0.0
10,4,50,0.02,0.008
10,4,100,0.03,0.024
10,4,200,0.02,0.032
11,0,10,0.0,0.0
11,0,25,0.0,0.0
11,0,50,0.0,0.0
11,0,100,0.0,0.0
11,0,200,0.0,0.0
11,1,10,0.0,0.0
11,1,25,0.0,0.0
11,1,50,0.0,0.0
11,1,100,0.0,0.0
11,1,200,0.005,0.008695652173913044
11,2,10,0.0,0.0
11,2,25,0.0,0.0
11,2,50,0.0,0.0
11,2,100,0.0,0.0
11,2,200,0.005,0.00847457627118644
11,3,10,0.0,0.0
11,3,25,0.04,0.008547008547008548
11,3,50,0.06,0.02564102564102564
11,3,100,0.06,0.05128205128205128
11,3,200,0.055,0.09401709401709402
11,4,10,0.0,0.0
11,4,25,0.0,0.0
11,4,50,0.0,0.0
11,4,100,0.02,0.010638297872340425
11,4,200,0.015,0.015957446808510637
12,0,10,0.0,0.0
12,0,25,0.0,0.0
12,0,50,0.0,0.0
12,0,100,0.0,0.0
12,0,200,0.0,0.0
12,1,10,0.0,0.0
12,1,25,0.0,0.0
12,1,50,0.0,0.0
12,1,100,0.01,0.010416666666666666
12,1,200,0.025,0.052083333333333336
12,2,10,0.0,0.0
12,2,25,0.0,0.0
12,2,50,0.02,0.013888888888888888
12,2,100,0.01,0.013888888888888888
12,2,200,0.005,0.013888888888888888
12,3,10,0.5,0.03355704697986577
12,3,25,0.56,0.09395973154362416
12,3,50,0.56,0.18791946308724833
12,3,100,0.43,0.28859060402684567
12,3,200,0.275,0.3691275167785235
12,4,10,0.0,0.0
12,4,25,0.0,0.0
12,4,50,0.04,0.011904761904761904
12,4,100,0.05,0.02976190476190476
12,4,200,0.04,0.047619047619047616
13,0,10,0.0,0.0
13,0,25,0.04,0.016129032258064516
13,0,50,0.06,0.04838709677419355
13,0,100,0.07,0.11290322580645161
13,0,200,0.035,0.11290322580645161
13,1,10,0.0,0.0
13,1,25,0.0,0.0
13,1,50,0.0,0.0
13,1,100,0.0,0.0
13,1,200,0.02,0.12903225806451613
13,2,10,0.0,0.0
13,2,25,0.0,0.0
13,2,50,0.0,0.0
13,2,100,0.0,0.0
13,2,200,0.005,0.009900990099009901
13,3,10,0.6,0.06521739130434782
13,3,25,0.6,0.16304347826086957
13,3,50,0.38,0.20652173913043478
13,3,100,0.24,0.2608695652173913
13,3,200,0.135,0.29347826086956524
13,4,10,0.3,0.030612244897959183
13,4,25,0.12,0.030612244897959183
13,4,50,0.08,0.04081632653061224
13,4,100,0.06,0.061224489795918366
13,4,200,0.06,0.12244897959183673
14,0,10,0.0,0.0
14,0,25,0.0,0.0
14,0,50,0.0,0.0
14,0,100,0.0,0.0
14,0,200,0.005,0.018867924528301886
14,1,10,0.0,0.0
14,1,25,0.0,0.0
14,1,50,0.0,0.0
14,1,100,0.11,0.09090909090909091
14,1,200,0.09,0.1487603305785124
14,2,10,0.2,0.01818181818181818
14,2,25,0.08,0.01818181818181818
14,2,50,0.04,0.01818181818181818
14,2,100,0.02,0.01818181818181818
14,2,200,0.03,0.05454545454545454
14,3,10,0.6,0.03614457831325301
14,3,25,0.52,0.0783132530120482
14,3,50,0.54,0.16265060240963855
14,3,100,0.44,0.26506024096385544
14,3,200,0.305,0.3674698795180723
14,4,10,0.0,0.0
14,4,25,0.04,0.005291005291005291
14,4,50,0.06,0.015873015873015872
14,4,100,0.1,0.05291005291005291
14,4,200,0.08,0.08465608465608465
15,0,10,0.0,0.0
15,0,25,0.04,0.023255813953488372
15,0,50,0.02,0.023255813953488372
15,0,100,0.01,0.023255813953488372
15,0,200,0.005,0.023255813953488372
15,1,10,0.0,0.0
15,1,25,0.0,0.0
15,1,50,0.0,0.0
15,1,100,0.0,0.0
15,1,200,0.005,0.009708737864077669
15,2,10,0.0,0.0
15,2,25,0.0,0.0
15,2,50,0.0,0.0
15,2,100,0.02,0.02702702702702703
15,2,200,0.045,0.12162162162162163
15,3,10,0.3,0.02586206896551724
15,3,25,0.24,0.05172413793103448
15,3,50,0.2,0.08620689655172414
15,3,100,0.17,0.14655172413793102
15,3,200,0.11,0.1896551724137931
15,4,10,0.1,0.00625
15,4,25,0.04,0.00625
15,4,50,0.02,0.00625
15,4,100,0.01,0.00625
15,4,200,0.005,0.00625
16,0,10,0.0,0.0
16,0,25,0.0,0.0
16,0,50,0.0,0.0
16,0,100,0.0,0.0
16,0,200,0.005,0.014084507042253521
16,1,10,0.0,0.0
16,1,25,0.0,0.0
16,1,50,0.0,0.0
16,1,100,0.0,0.0
16,1,200,0.04,0.05128205128205128
16,2,10,0.0,0.0
16,2,25,0.0,0.0
16,2,50,0.0,0.0
16,2,100,0.0,0.0
16,2,200,0.0,0.0
16,3,10,0.8,0.06611570247933884
16,3,25,0.6,0.12396694214876033
16,3,50,0.48,0.19834710743801653
16,3,100,0.32,0.2644628099173554
16,3,200,0.2,0.3305785123966942
16,4,10,0.0,0.0
16,4,25,0.0,0.0
16,4,50,0.0,0.0
16,4,100,0.0,0.0
16,4,200,0.005,0.004672897196261682
17,0,10,0.0,0.0
17,0,25,0.0,0.0
17,0,50,0.0,0.0
17,0,100,0.0,0.0
17,0,200,0.0,0.0
17,1,10,0.0,0.0
17,1,25,0.0,0.0
17,1,50,0.0,0.0
17,1,100,0.01,0.013888888888888888
17,1,200,0.04,0.1111111111111111
17,2,10,0.0,0.0
17,2,25,0.04,0.011904761904761904
17,2,50,0.06,0.03571428571428571
17,2,100,0.06,0.07142857142857142
17,2,200,0.045,0.10714285714285714
17,3,10,0.3,0.02459016393442623
17,3,25,0.16,0.03278688524590164
17,3,50,0.3,0.12295081967213115
17,3,100,0.19,0.1557377049180328
17,3,200,0.125,0.20491803278688525
17,4,10,0.2,0.018518518518518517
17,4,25,0.08,0.018518518518518517
17,4,50,0.04,0.018518518518518517
17,4,100,0.03,0.027777777777777776
17,4,200,0.03,0.05555555555555555
18,0,10,0.0,0.0
18,0,25,0.0,0.0
18,0,50,0.0,0.0
18,0,100,0.0,0.0
18,0,200,0.01,0.031746031746031744
18,1,10,0.0,0.0
18,1,25,0.0,0.0
18,1,50,0.02,0.010101010101010102
18,1,100,0.02,0.020202020202020204
18,1,200,0.015,0.030303030303030304
18,2,10,0.3,0.028037383177570093
18,2,25,0.32,0.07476635514018691
18,2,50,0.2,0.09345794392523364
18,2,100,0.1,0.09345794392523364
18,2,200,0.05,0.09345794392523364
18,3,10,0.8,0.050314465408805034
18,3,25,0.68,0.1069182389937107
18,3,50,0.56,0.1761006289308176
18,3,100,0.45,0.2830188679245283
18,3,200,0.295,0.3710691823899371
18,4,10,0.2,0.011363636363636364
18,4,25,0.16,0.022727272727272728
18,4,50,0.16,0.045454545454545456
18,4,100,0.14,0.07954545454545454
18,4,200,0.135,0.1534090909090909
