window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.04,0.02857142857142857
1,0,50,0.02,0.02857142857142857
1,0,100,0.01,0.02857142857142857
1,0,200,0.005,0.02857142857142857
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.1,0.021739130434782608
1,3,25,0.08,0.043478260869565216
1,3,50,0.1,0.10869565217391304
1,3,100,0.07,0.15217391304347827
1,3,200,0.04,0.17391304347826086
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.04,0.025
2,0,50,0.02,0.025
2,0,100,0.01,0.025
2,0,200,0.005,0.025
2,1,10,0.1,0.011363636363636364
2,1,25,0.04,0.011363636363636364
2,1,50,0.04,0.022727272727272728
2,1,100,0.02,0.022727272727272728
2,1,200,0.01,0.022727272727272728
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.0,0.0
2,2,100,0.0,0.0
2,2,200,0.0,0.0
2,3,10,0.0,0.0
2,3,25,0.04,0.022222222222222223
2,3,50,0.06,0.06666666666666667
2,3,100,0.03,0.06666666666666667
2,3,200,0.015,0.06666666666666667
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.0,0.0
2,4,200,0.0,0.0
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.0,0.0
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.01,0.009708737864077669
3,1,200,0.02,0.038834951456310676
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.0,0.0
3,2,100,0.0,0.0
3,2,200,0.0,0.0
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.0,0.0
3,3,100,0.0,0.0
3,3,200,0.0,0.0
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.005,0.017241379310344827
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.1,0.01098901098901099
4,1,25,0.04,0.01098901098901099
4,1,50,0.04,0.02197802197802198
4,1,100,0.02,0.02197802197802198
4,1,200,0.01,0.02197802197802198
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.0,0.0
4,2,100,0.0,0.0
4,2,200,0.01,0.0196078431372549
4,3,10,0.0,0.0
4,3,25,0.0,0.0
4,3,50,0.02,0.015625
4,3,100,0.01,0.015625
4,3,200,0.015,0.046875
4,4,10,0.0,0.0
4,4,25,0.04,0.01639344262295082
4,4,50,0.02,0.01639344262295082
4,4,100,0.01,0.01639344262295082
4,4,200,0.01,0.03278688524590164
5,0,10,0.0,0.0
5,0,25,0.0,0.0
5,0,50,0.0,0.0
5,0,100,0.0,0.0
5,0,200,0.0,0.0
5,1,10,0.0,0.0
5,1,25,0.0,0.0
5,1,50,0.0,0.0
5,1,100,0.01,0.022222222222222223
5,1,200,0.005,0.022222222222222223
5,2,10,0.1,0.009433962264150943
5,2,25,0.04,0.009433962264150943
5,2,50,0.02,0.009433962264150943
5,2,100,0.01,0.009433962264150943
5,2,200,0.01,0.018867924528301886
5,3,10,0.0,0.0
5,3,25,0.0,0.0
5,3,50,0.02,0.011627906976744186
5,3,100,0.01,0.011627906976744186
5,3,200,0.005,0.011627906976744186
5,4,10,0.0,0.0
5,4,25,0.0,0.0
5,4,50,0.0,0.0
5,4,100,0.0,0.0
5,4,200,0.0,0.0
6,0,10,0.0,0.0
6,0,25,0.0,0.0
6,0,50,0.0,0.0
6,0,100,0.0,0.0
6,0,200,0.0,0.0
6,1,10,0.0,0.0
6,1,25,0.0,0.0
6,1,50,0.0,0.0
6,1,100,0.0,0.0
6,1,200,0.0,0.0
6,2,10,0.0,0.0
6,2,25,0.0,0.0
6,2,50,0.0,0.0
6,2,100,0.0,0.0
6,2,200,0.0,0.0
6,3,10,0.0,0.0
6,3,25,0.0,0.0
