window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.04,0.0125
2,0,50,0.02,0.0125
2,0,100,0.01,0.0125
2,0,200,0.015,0.0375
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.0,0.0
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.02,0.011235955056179775
2,2,100,0.01,0.011235955056179775
2,2,200,0.015,0.033707865168539325
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.0,0.0
2,3,100,0.01,0.014925373134328358
2,3,200,0.005,0.014925373134328358
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.02,0.014084507042253521
2,4,100,0.01,0.014084507042253521
2,4,200,0.02,0.056338028169014086
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.01,0.01
3,0,200,0.005,0.01
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.02,0.023255813953488372
3,1,200,0.02,0.046511627906976744
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.0,0.0
3,2,100,0.0,0.0
3,2,200,0.01,0.02631578947368421
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.02,0.01282051282051282
3,3,100,0.01,0.01282051282051282
3,3,200,0.02,0.05128205128205128
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.0,0.0
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.005,0.01098901098901099
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.0,0.0
4,1,100,0.0,0.0
4,1,200,0.01,0.02197802197802198
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.0,0.0
4,2,100,0.01,0.008547008547008548
4,2,200,0.005,0.008547008547008548
4,3,10,0.0,0.0
4,3,25,0.0,0.0
4,3,50,0.0,0.0
4,3,100,0.0,0.0
4,3,200,0.0,0.0
4,4,10,0.0,0.0
4,4,25,0.04,0.013157894736842105
4,4,50,0.02,0.013157894736842105
4,4,100,0.01,0.013157894736842105
4,4,200,0.02,0.05263157894736842
5,0,10,0.0,0.0
5,0,25,0.0,0.0
5,0,50,0.06,0.03333333333333333
5,0,100,0.04,0.044444444444444446
5,0,200,0.03,0.06666666666666667
5,1,10,0.0,0.0
5,1,25,0.0,0.0
5,1,50,0.02,0.009174311926605505
5,1,100,0.02,0.01834862385321101
5,1,200,0.015,0.027522935779816515
5,2,10,0.0,0.0
5,2,25,0.0,0.0
5,2,50,0.0,0.0
5,2,100,0.0,0.0
5,2,200,0.015,0.022222222222222223
5,3,10,0.1,0.009174311926605505
5,3,25,0.08,0.01834862385321101
5,3,50,0.04,0.01834862385321101
