window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00014153140737003885,0.7807017590949158,0.0,39,215128,0.00018128741958276003
0,1,0.00020766404736070928,0.895904233123572,0.0,50,215710,0.0002317926846228733
0,2,0.00048456568016380555,1.1758325425150855,0.0,100,242657,0.0004121043283317605
0,3,0.00018580458345356614,0.8259865338851844,0.0,48,213382,0.00022494868358155796
0,4,0.00046497865451185797,1.413745900039427,0.0,75,228034,0.00032889832218002576
1,0,0.0010573866118747202,2.452426237072517,0.0,61,141479,0.0004311593946804826
1,1,0.0003176504771921967,0.6113140507823664,0.0,74,142412,0.0005196191332191108
1,2,0.0005073067752221811,0.9776872539501342,0.0,90,173449,0.0005188845136034223
1,3,0.00043057883454132996,0.9689968326755272,0.0,62,139528,0.00044435525485923973
1,4,0.0008151556815836659,1.211705850230301,0.0,106,157566,0.0006727339654493989
2,0,0.01565014302439693,7.265248926181182,0.04,83,38531,0.0021541096779216736
2,1,0.0015324083112998013,0.8831629664682238,0.0,68,39190,0.001735136514416943
2,2,0.0026907621710982256,1.9941031468303483,0.0,65,48171,0.0013493595731871872
2,3,0.005310672075608428,3.005919658556693,0.02,67,37923,0.001766737863565646
2,4,0.007090900694046379,4.115936944194868,0.0,75,43534,0.0017227913814489824
3,0,0.011907316151079136,6.6644730788192055,0.0,69,38619,0.0017866853103394701
3,1,0.005401579041163806,2.433752837179081,0.0,87,39199,0.002219444373580959
3,2,0.006804300157769926,4.150709226621399,0.02,79,48191,0.0016393102446514908
3,3,0.00972571085750649,5.041248947084768,0.02,73,37839,0.0019292264594730304
3,4,0.008166459715884495,4.872579717603632,0.02,73,43556,0.0016760033060887133
4,0,0.003999057692638793,4.458949327292254,0.0,81,90315,0.0008968609865470852
4,1,0.008187082012415735,8.31715542775906,0.02,89,90414,0.0009843608290751433
4,2,0.0031478923102307367,3.6431823353724018,0.02,97,112262,0.0008640501683561668
4,3,0.004752494957251703,5.67852502196268,0.02,74,88419,0.0008369241905020414
4,4,0.0034879541955806282,4.10426759041834,0.02,86,101196,0.0008498359618957271
5,0,0.009994964650809674,11.268697958497231,0.02,80,90195,0.0008869671267808637
5,1,0.011048038556648621,9.332494999464352,0.04,107,90385,0.0011838247496819161
5,2,0.007921699077104282,5.804016632969365,0.06,153,112099,0.0013648649854146782
5,3,0.00997481454137532,9.088187211728535,0.02,97,88378,0.0010975582158455725
5,4,0.02104046410229718,20.64028673165252,0.04,103,101041,0.0010193881691590541
6,0,0.009966150984156921,10.232292516120202,0.0,88,90350,0.0009739900387382401
6,1,0.013770396407716642,14.316780412307882,0.02,87,90452,0.0009618361119709902
6,2,0.00900385528318857,6.280999966245184,0.02,161,112312,0.0014335066600185198
6,3,0.008045911070766257,8.681636166223509,0.0,82,88479,0.0009267735846924129
6,4,0.005787635101420372,6.578915370117936,0.0,89,101168,0.0008797248141704886
7,0,0.014601806125807021,13.070495922989714,0.0,101,90408,0.0011171577736483497
7,1,0.01687206582942137,13.87067870078394,0.0,110,90432,0.0012163835810332627
7,2,0.01191782905118122,8.860077176341068,0.02,151,112258,0.0013451157155837446
7,3,0.016426245138761123,16.49941659437924,0.06,88,88392,0.0009955652095212236
7,4,0.015376753475773917,12.26762235369204,0.02,127,101321,0.0012534420307734823
8,0,0.007653154413282489,9.235631665542694,0.04,102,123091,0.0008286552225589198
8,1,0.00858580468363,11.92809444845073,0.04,89,123646,0.0007197968393639907
8,2,0.003193135072167214,3.1741665810431483,0.02,151,150103,0.001005975896551035
8,3,0.003358390923079083,4.726349458375133,0.0,86,121030,0.0007105676278608609
8,4,0.00580088939152262,6.443892041636599,0.02,123,136634,0.0009002151733829061
9,0,0.019042440517468274,8.208349776390907,0.0,90,38795,0.002319886583322593
9,1,0.022357423648604723,9.164913467120225,0.02,96,39353,0.0024394582369832033
9,2,0.022941027539325108,10.275031334557724,0.04,108,48372,0.002232696601339618
9,3,0.017025581657767717,7.798742036706877,0.02,83,38019,0.0021831189668323732
9,4,0.0189021052749299,8.366568213610385,0.02,99,43820,0.0022592423550890006
